title,job_url
"<li title=Cochin/ Kochi/ Ernakulam (Kerala)><i class=material-icons>location_on</i>
	        Cochin/ Kochi/ Ernakulam (Kerala)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-pearl-global-solutions-cochin-kochi-ernakulam-4-to-7-yrs-jobid-dZD__SLASH__NDlCjpVzpSvf__PLUS__uAgZw==&source=srp
"<li title=Thiruvananthapuram (Kerala)><i class=material-icons>location_on</i>
	        Thiruvananthapuram (Kerala)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-connecting-2-work-thiruvananthapuram-5-to-10-yrs-jobid-Tebue__SLASH__8iTzVzpSvf__PLUS__uAgZw==&source=srp
"<li title=Ahmedabad (Gujarat)><i class=material-icons>location_on</i>
	        Ahmedabad (Gujarat)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-odoo-axistechnolabs-ahmedabad-0-to-1-yrs-jobid-HzL8naalyxFzpSvf__PLUS__uAgZw==&source=srp
"<li title=Thiruvananthapuram (Kerala)><i class=material-icons>location_on</i>
	        Thiruvananthapuram (Kerala)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-technopark-trivandrum-thiruvananthapuram-2-to-7-yrs-jobid-SqN__PLUS__soI0QtJzpSvf__PLUS__uAgZw==&source=srp
"<li title=Ahmedabad (Gujarat)><i class=material-icons>location_on</i>
	        Ahmedabad (Gujarat)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-applycup-hiring-solutions-llp-ahmedabad-1-to-4-yrs-jobid-Sq8U1RfiYD5zpSvf__PLUS__uAgZw==&source=srp
"<li title=Indore (Madhya Pradesh)><i class=material-icons>location_on</i>
	        Indore (Madhya Pradesh)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-creative-thoughts-informatics-indore-indore-1-to-4-yrs-jobid-xtV5Tl3aEcVzpSvf__PLUS__uAgZw==&source=srp
"<li title=Gurgaon (Haryana)><i class=material-icons>location_on</i>
	        Gurgaon (Haryana)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-splice-global-services-pvt-ltd-gurgaon-2-to-5-yrs-jobid-Jnds36iU0vVzpSvf__PLUS__uAgZw==&source=srp
"<li title=Thiruvananthapuram (Kerala)><i class=material-icons>location_on</i>
	        Thiruvananthapuram (Kerala)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-technopark-trivandrum-thiruvananthapuram-0-to-3-yrs-jobid-4VuW7e28TOlzpSvf__PLUS__uAgZw==&source=srp
"<li title=Noida/ Greater Noida (Uttar Pradesh)><i class=material-icons>location_on</i>
	        Noida/ Greater Noida (Uttar Pradesh)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-xonier-technologies-pvt-ltd-noida-greater-noida-2-to-5-yrs-jobid-VZ3nXzqL2FNzpSvf__PLUS__uAgZw==&source=srp
"<li title=Bengaluru/ Bangalore (Karnataka)><i class=material-icons>location_on</i>
	        Bengaluru/ Bangalore (Karnataka)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-perfios-software-bengaluru-bangalore-5-to-8-yrs-jobid-5GGtzEeKMXxzpSvf__PLUS__uAgZw==&source=srp
"<li title=Bengaluru/ Bangalore (Karnataka)><i class=material-icons>location_on</i>
	        Bengaluru/ Bangalore (Karnataka)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-dreamajax-technologies-bengaluru-bangalore-4-to-7-yrs-jobid-EWIVCDzRLKBzpSvf__PLUS__uAgZw==&source=srp
"<li title=Pune (Maharashtra)><i class=material-icons>location_on</i>
	        Pune (Maharashtra)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-interns-3ri-technologies-pvt-ltd-pune-5-to-8-yrs-jobid-cfLZrmnuzxxzpSvf__PLUS__uAgZw==&source=srp
"<li title=Noida/ Greater Noida (Uttar Pradesh)><i class=material-icons>location_on</i>
	        Noida/ Greater Noida (Uttar Pradesh)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-infinity-group-noida-greater-noida-2-to-5-yrs-jobid-efOg3e9X__SLASH__D9zpSvf__PLUS__uAgZw==&source=srp
"<li title=Pune (Maharashtra)><i class=material-icons>location_on</i>
	        Pune (Maharashtra)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-trainer-applycup-hiring-solutions-llp-pune-4-to-6-yrs-jobid-3V1Biww1YVJzpSvf__PLUS__uAgZw==&source=srp
"<li title=Gandhinagar (Gujarat)><i class=material-icons>location_on</i>
	        Gandhinagar (Gujarat)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-applycup-hiring-solutions-llp-gandhinagar-2-to-4-yrs-jobid-t8Ti7DllljpzpSvf__PLUS__uAgZw==&source=srp
"<li title=Mohali (Punjab), Chandigarh (Punjab)><i class=material-icons>location_on</i>
	        Mohali (Punjab), Chandigarh (Punjab)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-mohali-chandigarh-3-to-6-yrs-jobid-EAm60cv2FrxzpSvf__PLUS__uAgZw==&source=srp
"<li title=Gurgaon (Haryana), Chandigarh (Punjab)><i class=material-icons>location_on</i>
	        Gurgaon (Haryana), Chandigarh (Punjab)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-gurgaon-chandigarh-4-to-6-yrs-jobid-RxlCUMDjB7dzpSvf__PLUS__uAgZw==&source=srp
"<li title=Kolkata (West Bengal)><i class=material-icons>location_on</i>
	        Kolkata (West Bengal)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-innova-unified-management-services-pvt-ltd-kolkata-1-to-3-yrs-jobid-Tno__SLASH__eg3ugWFzpSvf__PLUS__uAgZw==&source=srp
"<li title=Bengaluru/ Bangalore (Karnataka), Delhi (Delhi)><i class=material-icons>location_on</i>
	        Bengaluru/ Bangalore (Karnataka), Delhi (Delhi)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-big4-bengaluru-bangalore-delhi-7-to-10-yrs-jobid-ud18h6v8DiVzpSvf__PLUS__uAgZw==&source=srp
"<li title=Kolkata (West Bengal)><i class=material-icons>location_on</i>
	        Kolkata (West Bengal)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-KEkE19WqPbFzpSvf__PLUS__uAgZw==&source=srp
"<li title=Bengaluru/ Bangalore (Karnataka), Chennai (Tamil Nadu), Hyderabad/ Secunderabad (Andhra Pradesh), Vijayawada (Andhra Pradesh), Visakhapatnam (Andhra Pradesh)><i class=material-icons>location_on</i>
	        Bengaluru/ Bangalore (Karnataka), Chennai (Tamil Nadu), Hyderabad/ Secunderabad (Andhra Pradesh), Vijayawada (Andhra Pradesh), Visakhapatnam (Andhra Pradesh)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-faculty-learntek-bengaluru-bangalore-chennai-hyderabad-secunderabad-vijayawada-visakhapatnam-2-to-7-yrs-jobid-K4__PLUS__N8nfOlV5zpSvf__PLUS__uAgZw==&source=srp
"<li title=Chennai (Tamil Nadu)><i class=material-icons>location_on</i>
	        Chennai (Tamil Nadu)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-surya-informatics-solutions-pvt-ltd-chennai-0-to-3-yrs-jobid-UVlLes58wutzpSvf__PLUS__uAgZw==&source=srp
